begin,end,score
0,1,0.031064724549651146
0,2,0.023610541597008705
0,3,0.02030506357550621
0,4,0.024600068107247353
0,5,0.017761094495654106
0,6,0.01753551885485649
0,7,0.012254499830305576
0,8,0.014017104171216488
0,9,0.010255350731313229
0,10,0.008407560177147388
1,2,0.022430306300520897
1,3,0.014710837975144386
1,4,0.022150125354528427
1,5,0.02018909342586994
1,6,0.01434710156172514
1,7,0.01216211449354887
1,8,0.012702517211437225
1,9,0.008509045466780663
1,10,0.00976051576435566
2,3,0.01165106613188982
2,4,0.011499196290969849
2,5,0.011591518297791481
2,6,0.01711880788207054
2,7,0.010506992228329182
2,8,0.0125236501917243
2,9,0.010661215521395206
2,10,0.00846925750374794
3,4,0.004652027972042561
3,5,0.0076701282523572445
3,6,0.007922003977000713
3,7,0.01051650382578373
3,8,0.014209028333425522
3,9,0.011417409405112267
3,10,0.01287365984171629
4,5,0.004568280652165413
4,6,0.007569479290395975
4,7,0.007300931960344315
4,8,0.008191470988094807
4,9,0.009504060260951519
4,10,0.01314739603549242
5,6,0.005462893284857273
5,7,0.005316456314176321
5,8,0.008212288841605186
5,9,0.007261636666953564
5,10,0.0074991341680288315
6,7,0.003941234666854143
6,8,0.005036798771470785
6,9,0.008380257524549961
6,10,0.008323878049850464
7,8,0.003885649610310793
7,9,0.0036823442205786705
7,10,0.009174537844955921
8,9,0.00257222936488688
8,10,0.003441829700022936
9,10,0.0027527441270649433
